   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.050E-01  1.676E+00  263.81 um    54.27 um    44.47 um  
  11.00 keV   6.345E-01  1.629E+00  290.34 um    58.76 um    48.32 um  
  12.00 keV   6.627E-01  1.585E+00  317.12 um    63.20 um    52.17 um  
  13.00 keV   6.898E-01  1.544E+00  344.14 um    67.57 um    56.01 um  
  14.00 keV   7.159E-01  1.505E+00  371.37 um    71.88 um    59.85 um  
  15.00 keV   7.410E-01  1.468E+00  398.80 um    76.13 um    63.68 um  
  16.00 keV   7.653E-01  1.433E+00  426.42 um    80.33 um    67.51 um  
  17.00 keV   7.888E-01  1.400E+00  454.20 um    84.47 um    71.33 um  
  18.00 keV   8.117E-01  1.369E+00  482.13 um    88.56 um    75.15 um  
  20.00 keV   8.556E-01  1.311E+00  538.40 um    96.70 um    82.76 um  
  22.50 keV   9.075E-01  1.246E+00  609.38 um   106.65 um    92.21 um  
  25.00 keV   9.566E-01  1.188E+00  680.89 um   116.24 um   101.59 um  
  27.50 keV   1.003E+00  1.137E+00  752.78 um   125.50 um   110.89 um  
  30.00 keV   1.048E+00  1.090E+00  824.95 um   134.45 um   120.08 um  
  32.50 keV   1.085E+00  1.048E+00  897.37 um   143.12 um   129.16 um  
  35.00 keV   1.109E+00  1.009E+00  970.26 um   151.57 um   138.16 um  
  37.50 keV   1.142E+00  9.734E-01    1.04 mm   159.83 um   147.09 um  
  40.00 keV   1.179E+00  9.408E-01    1.12 mm   167.85 um   155.91 um  
  45.00 keV   1.256E+00  8.827E-01    1.26 mm   183.65 um   173.20 um  
  50.00 keV   1.330E+00  8.323E-01    1.41 mm   198.41 um   189.97 um  
  55.00 keV   1.396E+00  7.883E-01    1.55 mm   212.26 um   206.22 um  
  60.00 keV   1.454E+00  7.493E-01    1.70 mm   225.34 um   221.97 um  
  65.00 keV   1.504E+00  7.146E-01    1.84 mm   237.75 um   237.25 um  
  70.00 keV   1.547E+00  6.834E-01    1.98 mm   249.60 um   252.11 um  
