        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.427E-01  1.014E-01    1.28 mm   173.97 um   187.54 um  
  11.00 keV   5.713E-01  9.483E-02    1.39 mm   182.18 um   199.62 um  
  12.00 keV   5.988E-01  8.918E-02    1.50 mm   189.59 um   210.85 um  
  13.00 keV   6.254E-01  8.424E-02    1.60 mm   196.34 um   221.32 um  
  14.00 keV   6.511E-01  7.987E-02    1.71 mm   202.50 um   231.10 um  
  15.00 keV   6.761E-01  7.599E-02    1.81 mm   208.16 um   240.28 um  
  16.00 keV   7.005E-01  7.250E-02    1.91 mm   213.37 um   248.91 um  
  17.00 keV   7.242E-01  6.936E-02    2.00 mm   218.20 um   257.04 um  
  18.00 keV   7.474E-01  6.650E-02    2.09 mm   222.68 um   264.71 um  
  20.00 keV   7.923E-01  6.151E-02    2.28 mm   231.41 um   278.85 um  
  22.50 keV   8.460E-01  5.632E-02    2.49 mm   241.18 um   294.59 um  
  25.00 keV   8.974E-01  5.202E-02    2.69 mm   249.57 um   308.57 um  
  27.50 keV   9.469E-01  4.839E-02    2.89 mm   256.88 um   321.08 um  
  30.00 keV   9.946E-01  4.527E-02    3.07 mm   263.32 um   332.37 um  
  32.50 keV   1.041E+00  4.257E-02    3.25 mm   269.04 um   342.61 um  
  35.00 keV   1.086E+00  4.020E-02    3.42 mm   274.16 um   351.97 um  
  37.50 keV   1.129E+00  3.810E-02    3.59 mm   278.77 um   360.55 um  
  40.00 keV   1.172E+00  3.623E-02    3.75 mm   282.97 um   368.47 um  
  45.00 keV   1.254E+00  3.304E-02    4.05 mm   291.85 um   382.61 um  
  50.00 keV   1.334E+00  3.040E-02    4.34 mm   299.39 um   394.89 um  
  55.00 keV   1.410E+00  2.819E-02    4.61 mm   305.88 um   405.69 um  
  60.00 keV   1.483E+00  2.630E-02    4.87 mm   311.54 um   415.29 um  
  65.00 keV   1.554E+00  2.467E-02    5.12 mm   316.53 um   423.88 um  
