   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
%  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   1.00 keV   1.094E-01  2.953E-01    1085 A       446 A       309 A   
   1.10 keV   1.148E-01  2.862E-01    1204 A       486 A       338 A   
   1.20 keV   1.199E-01  2.776E-01    1324 A       526 A       368 A   
   1.30 keV   1.248E-01  2.697E-01    1445 A       566 A       398 A   
   1.40 keV   1.295E-01  2.622E-01    1569 A       606 A       428 A   
   1.50 keV   1.340E-01  2.552E-01    1693 A       645 A       459 A   
   1.60 keV   1.384E-01  2.486E-01    1819 A       684 A       489 A   
   1.70 keV   1.427E-01  2.424E-01    1946 A       722 A       520 A   
   1.80 keV   1.468E-01  2.366E-01    2075 A       760 A       551 A   
   2.00 keV   1.548E-01  2.258E-01    2334 A       835 A       613 A   
   2.25 keV   1.641E-01  2.139E-01    2664 A       927 A       691 A   
   2.50 keV   1.730E-01  2.034E-01    2997 A      1016 A       769 A   
   2.75 keV   1.815E-01  1.940E-01    3334 A      1103 A       847 A   
   3.00 keV   1.895E-01  1.856E-01    3674 A      1187 A       925 A   
   3.25 keV   1.973E-01  1.780E-01    4015 A      1269 A      1002 A   
   3.50 keV   2.047E-01  1.711E-01    4358 A      1349 A      1078 A   
   3.75 keV   2.119E-01  1.648E-01    4702 A      1427 A      1154 A   
   4.00 keV   2.189E-01  1.591E-01    5047 A      1503 A      1229 A   
   4.50 keV   2.321E-01  1.488E-01    5737 A      1649 A      1377 A   
   5.00 keV   2.447E-01  1.400E-01    6426 A      1787 A      1521 A   
   5.50 keV   2.566E-01  1.323E-01    7113 A      1918 A      1662 A   
   6.00 keV   2.680E-01  1.256E-01    7796 A      2042 A      1798 A   
   6.50 keV   2.790E-01  1.195E-01    8474 A      2159 A      1931 A   
   7.00 keV   2.895E-01  1.142E-01    9148 A      2271 A      2059 A   
   8.00 keV   3.095E-01  1.049E-01    1,05 um     2482 A      2306 A   
   9.00 keV   3.293E-01  9.721E-02    1,18 um     2673 A      2538 A
