   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   1.00 keV   1.094E-01  2.953E-01  116.20 um    47.72 um    33.07 um  
   1.10 keV   1.148E-01  2.862E-01  128.86 um    52.05 um    36.23 um  
   1.20 keV   1.199E-01  2.776E-01  141.71 um    56.35 um    39.42 um  
   1.30 keV   1.248E-01  2.697E-01  154.75 um    60.61 um    42.64 um  
   1.40 keV   1.295E-01  2.622E-01  167.94 um    64.84 um    45.87 um  
   1.50 keV   1.340E-01  2.552E-01  181.29 um    69.03 um    49.13 um  
   1.60 keV   1.384E-01  2.486E-01  194.77 um    73.18 um    52.40 um  
   1.70 keV   1.427E-01  2.424E-01  208.39 um    77.29 um    55.69 um  
   1.80 keV   1.468E-01  2.366E-01  222.12 um    81.36 um    58.99 um  
   2.00 keV   1.548E-01  2.258E-01  249.91 um    89.39 um    65.64 um  
   2.25 keV   1.641E-01  2.139E-01  285.17 um    99.19 um    73.98 um  
   2.50 keV   1.730E-01  2.034E-01  320.87 um   108.75 um    82.34 um  
   2.75 keV   1.815E-01  1.940E-01  356.94 um   118.05 um    90.68 um  
   3.00 keV   1.895E-01  1.856E-01  393.28 um   127.10 um    98.98 um  
   3.25 keV   1.973E-01  1.780E-01  429.84 um   135.91 um   107.24 um  
   3.50 keV   2.047E-01  1.711E-01  466.56 um   144.47 um   115.43 um  
   3.75 keV   2.119E-01  1.648E-01  503.38 um   152.80 um   123.55 um  
   4.00 keV   2.189E-01  1.591E-01  540.28 um   160.90 um   131.58 um  
   4.50 keV   2.321E-01  1.488E-01  614.16 um   176.51 um   147.41 um  
   5.00 keV   2.447E-01  1.400E-01  687.94 um   191.28 um   162.85 um  
   5.50 keV   2.566E-01  1.323E-01  761.46 um   205.29 um   177.88 um  
   6.00 keV   2.680E-01  1.256E-01  834.60 um   218.57 um   192.49 um  
   6.50 keV   2.790E-01  1.195E-01  907.26 um   231.18 um   206.69 um  
   7.00 keV   2.895E-01  1.142E-01  979.39 um   243.18 um   220.47 um  
