   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.317E-01  1.735E-02    1.01 mm    94.12 um   116.54 um  
  11.00 keV   8.704E-01  1.612E-02    1.07 mm    96.08 um   120.04 um  
  12.00 keV   9.071E-01  1.507E-02    1.14 mm    97.82 um   123.20 um  
  13.00 keV   9.420E-01  1.415E-02    1.20 mm    99.38 um   126.07 um  
  14.00 keV   9.753E-01  1.335E-02    1.26 mm   100.79 um   128.70 um  
  15.00 keV   1.007E+00  1.264E-02    1.32 mm   102.08 um   131.13 um  
  16.00 keV   1.038E+00  1.201E-02    1.37 mm   103.25 um   133.38 um  
  17.00 keV   1.067E+00  1.145E-02    1.43 mm   104.33 um   135.47 um  
  18.00 keV   1.095E+00  1.094E-02    1.48 mm   105.34 um   137.42 um  
  20.00 keV   1.149E+00  1.006E-02    1.58 mm   107.63 um   140.97 um  
  22.50 keV   1.211E+00  9.147E-03    1.71 mm   110.39 um   144.87 um  
  25.00 keV   1.268E+00  8.400E-03    1.82 mm   112.79 um   148.30 um  
  27.50 keV   1.321E+00  7.775E-03    1.94 mm   114.91 um   151.35 um  
  30.00 keV   1.369E+00  7.242E-03    2.04 mm   116.81 um   154.10 um  
  32.50 keV   1.415E+00  6.783E-03    2.15 mm   118.54 um   156.60 um  
  35.00 keV   1.457E+00  6.383E-03    2.25 mm   120.12 um   158.89 um  
  37.50 keV   1.496E+00  6.031E-03    2.35 mm   121.58 um   161.00 um  
  40.00 keV   1.532E+00  5.718E-03    2.45 mm   122.93 um   162.96 um  
  45.00 keV   1.598E+00  5.187E-03    2.63 mm   126.77 um   166.51 um  
  50.00 keV   1.654E+00  4.752E-03    2.81 mm   130.18 um   169.65 um  
  55.00 keV   1.703E+00  4.389E-03    2.99 mm   133.28 um   172.49 um  
  60.00 keV   1.745E+00  4.081E-03    3.16 mm   136.12 um   175.07 um  
  65.00 keV   1.781E+00  3.816E-03    3.32 mm   138.76 um   177.45 um  
