        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.281E-01  1.730E-02    1.12 mm   104.53 um   129.43 um  
  11.00 keV   8.666E-01  1.607E-02    1.19 mm   106.71 um   133.32 um  
  12.00 keV   9.031E-01  1.502E-02    1.26 mm   108.64 um   136.83 um  
  13.00 keV   9.378E-01  1.411E-02    1.33 mm   110.38 um   140.02 um  
  14.00 keV   9.710E-01  1.331E-02    1.40 mm   111.94 um   142.95 um  
  15.00 keV   1.003E+00  1.261E-02    1.46 mm   113.37 um   145.64 um  
  16.00 keV   1.033E+00  1.198E-02    1.52 mm   114.67 um   148.14 um  
  17.00 keV   1.063E+00  1.142E-02    1.58 mm   115.88 um   150.46 um  
  18.00 keV   1.091E+00  1.091E-02    1.64 mm   116.99 um   152.63 um  
  20.00 keV   1.144E+00  1.003E-02    1.76 mm   119.54 um   156.58 um  
  22.50 keV   1.206E+00  9.120E-03    1.89 mm   122.60 um   160.91 um  
  25.00 keV   1.262E+00  8.375E-03    2.02 mm   125.26 um   164.72 um  
  27.50 keV   1.315E+00  7.751E-03    2.15 mm   127.62 um   168.11 um  
  30.00 keV   1.364E+00  7.221E-03    2.27 mm   129.74 um   171.17 um  
  32.50 keV   1.409E+00  6.763E-03    2.39 mm   131.65 um   173.94 um  
  35.00 keV   1.451E+00  6.364E-03    2.50 mm   133.41 um   176.49 um  
  37.50 keV   1.490E+00  6.013E-03    2.61 mm   135.03 um   178.83 um  
  40.00 keV   1.526E+00  5.701E-03    2.72 mm   136.53 um   181.01 um  
  45.00 keV   1.591E+00  5.171E-03    2.92 mm   140.79 um   184.95 um  
  50.00 keV   1.648E+00  4.738E-03    3.12 mm   144.58 um   188.44 um  
  55.00 keV   1.697E+00  4.376E-03    3.32 mm   148.01 um   191.59 um  
  60.00 keV   1.739E+00  4.069E-03    3.50 mm   151.16 um   194.45 um  
  65.00 keV   1.774E+00  3.805E-03    3.69 mm   154.09 um   197.10 um  
