   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.585E-01  1.551E-02    5.24 mm     1.42 mm     1.52 mm  
  11.00 keV   1.827E-01  1.445E-02    5.55 mm     1.45 mm     1.58 mm  
  12.00 keV   2.079E-01  1.353E-02    5.83 mm     1.48 mm     1.62 mm  
  13.00 keV   2.339E-01  1.274E-02    6.08 mm     1.50 mm     1.66 mm  
  14.00 keV   2.607E-01  1.204E-02    6.31 mm     1.52 mm     1.69 mm  
  15.00 keV   2.881E-01  1.142E-02    6.52 mm     1.53 mm     1.72 mm  
  16.00 keV   3.159E-01  1.087E-02    6.72 mm     1.55 mm     1.74 mm  
  17.00 keV   3.440E-01  1.037E-02    6.89 mm     1.56 mm     1.76 mm  
  18.00 keV   3.722E-01  9.922E-03    7.06 mm     1.57 mm     1.78 mm  
  20.00 keV   4.282E-01  9.141E-03    7.36 mm     1.58 mm     1.81 mm  
  22.50 keV   4.954E-01  8.335E-03    7.69 mm     1.59 mm     1.84 mm  
  25.00 keV   5.567E-01  7.670E-03    7.98 mm     1.60 mm     1.86 mm  
  27.50 keV   6.099E-01  7.112E-03    8.25 mm     1.61 mm     1.88 mm  
  30.00 keV   6.536E-01  6.635E-03    8.50 mm     1.62 mm     1.90 mm  
  32.50 keV   6.881E-01  6.224E-03    8.73 mm     1.62 mm     1.91 mm  
  35.00 keV   7.145E-01  5.864E-03    8.96 mm     1.63 mm     1.92 mm  
  37.50 keV   7.348E-01  5.547E-03    9.17 mm     1.63 mm     1.93 mm  
  40.00 keV   7.509E-01  5.265E-03    9.39 mm     1.64 mm     1.94 mm  
  45.00 keV   7.773E-01  4.785E-03    9.80 mm     1.64 mm     1.96 mm  
  50.00 keV   8.023E-01  4.391E-03   10.21 mm     1.65 mm     1.97 mm  
  55.00 keV   8.289E-01  4.061E-03   10.60 mm     1.65 mm     1.98 mm  
  60.00 keV   8.573E-01  3.781E-03   10.98 mm     1.66 mm     1.99 mm  
