        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.147E+00  9.283E-03  795.65 um    74.04 um    93.18 um  
  11.00 keV   1.197E+00  8.612E-03  845.78 um    75.24 um    95.37 um  
  12.00 keV   1.243E+00  8.039E-03  894.02 um    76.30 um    97.34 um  
  13.00 keV   1.287E+00  7.544E-03  940.61 um    77.25 um    99.14 um  
  14.00 keV   1.328E+00  7.111E-03  985.75 um    78.12 um   100.79 um  
  15.00 keV   1.367E+00  6.729E-03    1.03 mm    78.91 um   102.31 um  
  16.00 keV   1.404E+00  6.389E-03    1.07 mm    79.64 um   103.72 um  
  17.00 keV   1.438E+00  6.084E-03    1.11 mm    80.32 um   105.03 um  
  18.00 keV   1.470E+00  5.810E-03    1.15 mm    80.95 um   106.26 um  
  20.00 keV   1.530E+00  5.334E-03    1.23 mm    82.48 um   108.52 um  
  22.50 keV   1.596E+00  4.846E-03    1.33 mm    84.37 um   111.01 um  
  25.00 keV   1.652E+00  4.446E-03    1.42 mm    86.06 um   113.23 um  
  27.50 keV   1.701E+00  4.111E-03    1.51 mm    87.59 um   115.23 um  
  30.00 keV   1.743E+00  3.826E-03    1.60 mm    89.00 um   117.06 um  
  32.50 keV   1.779E+00  3.581E-03    1.68 mm    90.30 um   118.74 um  
  35.00 keV   1.809E+00  3.368E-03    1.76 mm    91.52 um   120.31 um  
  37.50 keV   1.834E+00  3.180E-03    1.84 mm    92.68 um   121.78 um  
  40.00 keV   1.855E+00  3.013E-03    1.93 mm    93.79 um   123.17 um  
  45.00 keV   1.884E+00  2.731E-03    2.09 mm    97.18 um   125.74 um  
  50.00 keV   1.900E+00  2.500E-03    2.24 mm   100.36 um   128.11 um  
  55.00 keV   1.904E+00  2.307E-03    2.40 mm   103.38 um   130.33 um  
  60.00 keV   1.900E+00  2.144E-03    2.56 mm   106.29 um   132.43 um  
  65.00 keV   1.889E+00  2.003E-03    2.71 mm   109.13 um   134.44 um  
