        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.140E+00  9.281E-03  868.51 um    80.87 um   101.77 um  
  11.00 keV   1.190E+00  8.610E-03  923.23 um    82.17 um   104.16 um  
  12.00 keV   1.237E+00  8.037E-03  975.90 um    83.33 um   106.32 um  
  13.00 keV   1.280E+00  7.542E-03    1.03 mm    84.37 um   108.28 um  
  14.00 keV   1.321E+00  7.109E-03    1.08 mm    85.32 um   110.08 um  
  15.00 keV   1.360E+00  6.727E-03    1.12 mm    86.19 um   111.75 um  
  16.00 keV   1.396E+00  6.387E-03    1.17 mm    86.99 um   113.29 um  
  17.00 keV   1.430E+00  6.083E-03    1.22 mm    87.73 um   114.73 um  
  18.00 keV   1.463E+00  5.809E-03    1.26 mm    88.42 um   116.07 um  
  20.00 keV   1.522E+00  5.333E-03    1.35 mm    90.08 um   118.53 um  
  22.50 keV   1.588E+00  4.845E-03    1.45 mm    92.16 um   121.26 um  
  25.00 keV   1.644E+00  4.445E-03    1.55 mm    94.00 um   123.68 um  
  27.50 keV   1.693E+00  4.110E-03    1.65 mm    95.67 um   125.87 um  
  30.00 keV   1.735E+00  3.826E-03    1.74 mm    97.20 um   127.86 um  
  32.50 keV   1.771E+00  3.580E-03    1.83 mm    98.62 um   129.70 um  
  35.00 keV   1.802E+00  3.367E-03    1.92 mm    99.95 um   131.41 um  
  37.50 keV   1.827E+00  3.179E-03    2.01 mm   101.22 um   133.02 um  
  40.00 keV   1.848E+00  3.013E-03    2.10 mm   102.42 um   134.53 um  
  45.00 keV   1.877E+00  2.730E-03    2.28 mm   106.11 um   137.34 um  
  50.00 keV   1.893E+00  2.499E-03    2.45 mm   109.57 um   139.93 um  
  55.00 keV   1.899E+00  2.307E-03    2.62 mm   112.85 um   142.34 um  
  60.00 keV   1.895E+00  2.143E-03    2.79 mm   116.01 um   144.63 um  
  65.00 keV   1.884E+00  2.003E-03    2.96 mm   119.09 um   146.82 um  
