   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.260E-01  8.152E-03    3.39 mm     1.03 mm     1.07 mm  
  11.00 keV   4.801E-01  7.584E-03    3.52 mm     1.04 mm     1.09 mm  
  12.00 keV   5.308E-01  7.097E-03    3.64 mm     1.05 mm     1.10 mm  
  13.00 keV   5.768E-01  6.675E-03    3.75 mm     1.05 mm     1.11 mm  
  14.00 keV   6.173E-01  6.304E-03    3.85 mm     1.06 mm     1.12 mm  
  15.00 keV   6.518E-01  5.976E-03    3.95 mm     1.06 mm     1.12 mm  
  16.00 keV   6.803E-01  5.684E-03    4.04 mm     1.06 mm     1.13 mm  
  17.00 keV   7.034E-01  5.421E-03    4.13 mm     1.07 mm     1.14 mm  
  18.00 keV   7.221E-01  5.184E-03    4.22 mm     1.07 mm     1.14 mm  
  20.00 keV   7.500E-01  4.771E-03    4.39 mm     1.07 mm     1.15 mm  
  22.50 keV   7.764E-01  4.347E-03    4.59 mm     1.08 mm     1.16 mm  
  25.00 keV   8.012E-01  3.997E-03    4.79 mm     1.08 mm     1.17 mm  
  27.50 keV   8.277E-01  3.703E-03    4.99 mm     1.09 mm     1.18 mm  
  30.00 keV   8.560E-01  3.453E-03    5.18 mm     1.09 mm     1.18 mm  
  32.50 keV   8.850E-01  3.237E-03    5.36 mm     1.09 mm     1.19 mm  
  35.00 keV   9.136E-01  3.048E-03    5.54 mm     1.09 mm     1.20 mm  
  37.50 keV   9.411E-01  2.882E-03    5.71 mm     1.09 mm     1.20 mm  
  40.00 keV   9.668E-01  2.734E-03    5.88 mm     1.10 mm     1.21 mm  
  45.00 keV   1.012E+00  2.483E-03    6.20 mm     1.10 mm     1.21 mm  
  50.00 keV   1.047E+00  2.277E-03    6.52 mm     1.10 mm     1.22 mm  
  55.00 keV   1.073E+00  2.105E-03    6.82 mm     1.11 mm     1.23 mm  
  60.00 keV   1.092E+00  1.959E-03    7.12 mm     1.11 mm     1.23 mm  
