CoboID,AsadID,AgetID,ChannelID,PadID
0,1,2,3,4
2,1,3,48,133
2,0,3,53,134
2,1,3,50,135
2,0,3,40,136
2,0,3,38,137
2,1,3,39,138
2,0,3,15,139
2,1,3,33,140
2,1,3,5,141
2,0,3,24,142
2,1,3,13,143
2,1,3,1,144
2,1,3,10,145
2,1,3,26,146
2,1,3,21,147
0,0,3,34,148
0,1,3,25,149
0,0,3,26,150
0,1,3,33,151
0,2,3,20,152
0,2,3,9,153
0,2,3,25,154
0,2,3,2,155
0,2,3,12,156
0,2,3,6,157
0,3,3,23,158
0,2,3,34,159
0,3,3,14,160
0,3,3,37,161
0,2,3,40,162
0,3,3,39,163
0,2,3,51,164
0,2,3,49,165
0,3,3,52,166
2,1,3,35,432
2,1,3,12,434
2,1,3,31,435
2,1,3,19,436
2,1,3,9,437
2,1,3,15,438
2,1,3,28,439
9,2,0,27,440
0,0,2,28,441
0,0,3,62,442
0,0,3,58,443
0,0,3,38,444
0,0,3,36,445
0,0,3,24,446
0,1,3,23,447
0,1,3,35,448
0,1,3,37,449
0,1,3,61,450
0,1,3,57,451
0,1,2,27,452
5,1,0,28,453
0,2,3,14,454
0,2,3,27,455
0,2,3,10,456
0,2,3,18,457
0,2,3,13,458
0,2,3,32,459
0,2,3,36,461
0,0,2,30,732
0,0,3,55,733
0,0,3,40,735
0,0,3,28,738
0,1,3,39,740
0,1,3,54,741
0,1,2,29,743
4,0,2,60,5253
2,0,3,52,5254
4,0,2,62,5255
2,0,3,63,5256
2,0,3,59,5257
4,0,1,10,5258
2,0,2,0,5259
4,0,1,13,5260
4,0,1,21,5261
2,0,3,66,5262
4,0,1,24,5263
4,0,2,64,5264
1,3,2,44,5265
1,3,2,42,5266
1,3,2,47,5267
1,2,2,62,5268
1,2,2,60,5269
1,1,2,59,5270
1,1,2,61,5271
1,0,2,46,5272
1,0,2,43,5273
1,0,2,41,5274
3,1,2,63,5275
3,1,1,23,5276
3,1,1,20,5277
0,3,3,65,5278
3,1,1,12,5279
0,3,3,67,5280
0,3,3,60,5281
3,1,1,10,5282
0,3,3,64,5283
3,1,2,61,5284
3,1,2,59,5285
0,3,3,53,5286
4,0,0,13,5552
1,3,3,62,5554
4,0,1,46,5555
1,3,3,9,5556
4,0,1,48,5557
4,0,1,50,5558
1,2,3,47,5559
1,2,2,34,5560
1,2,3,49,5561
1,2,3,51,5562
1,2,2,32,5563
1,2,3,55,5564
1,2,2,28,5565
1,1,3,61,5566
1,2,3,62,5567
1,1,2,27,5568
1,1,3,54,5569
1,1,3,50,5570
1,1,2,31,5571
1,1,3,48,5572
1,1,2,33,5573
3,1,1,51,5574
1,1,3,46,5575
3,1,1,49,5576
1,0,3,10,5577
1,0,3,61,5578
3,1,1,47,5579
3,1,0,12,5581
1,2,3,13,5852
1,2,3,15,5853
1,2,3,4,5855
1,1,3,16,5858
1,1,3,3,5860
1,1,3,14,5861
1,1,3,12,5863
