CoboID,AsadID,AgetID,ChannelID,PadID
0,1,1,67,18
0,1,1,65,0
0,1,1,63,88
0,1,1,61,71
0,1,1,59,154
0,1,1,57,138
0,1,1,54,185
0,1,1,52,186
0,1,1,50,211
0,1,1,48,199
0,1,1,46,225
0,1,1,43,223
0,1,1,41,237
0,1,1,39,234
0,1,1,37,246
0,1,1,35,243
0,1,1,33,252
0,1,1,31,250
0,1,1,29,90
0,1,1,27,188
0,1,1,25,107
0,1,1,23,75
0,1,1,20,171
0,1,1,18,38
0,1,1,16,108
0,1,1,14,74
0,1,1,12,172
0,1,1,9,106
0,1,1,7,55
0,1,1,5,89
0,1,1,3,157
0,1,1,1,155
0,1,1,66,36
0,1,1,64,54
0,1,1,62,105
0,1,1,60,122
0,1,1,58,169
0,1,1,55,184
0,1,1,53,198
0,1,1,51,200
0,1,1,49,213
0,1,1,47,212
0,1,1,44,226
0,1,1,42,224
0,1,1,40,236
0,1,1,38,235
0,1,1,36,245
0,1,1,34,244
0,1,1,32,251
0,1,1,30,156
0,1,1,28,124
0,1,1,26,56
0,1,1,24,73
0,1,1,21,140
0,1,1,19,37
0,1,1,17,214
0,1,1,15,72
0,1,1,13,141
0,1,1,10,139
0,1,1,8,201
0,1,1,6,123
0,1,1,4,125
0,1,1,2,170
0,1,1,0,187
0,1,0,67,91
0,1,0,65,253
0,1,0,63,203
0,1,0,61,241
0,1,0,59,215
0,1,0,57,247
0,1,0,54,160
0,1,0,52,217
0,1,0,50,190
0,1,0,48,240
0,1,0,46,109
0,1,0,43,202
0,1,0,41,248
0,1,0,39,175
0,1,0,37,228
0,1,0,35,239
0,1,0,33,174
0,1,0,31,189
0,1,0,29,219
0,1,0,27,233
0,1,0,25,206
0,1,0,23,222
0,1,0,20,209
0,1,0,18,208
0,1,0,16,193
0,1,0,14,192
0,1,0,12,178
0,1,0,9,177
0,1,0,7,146
0,1,0,5,162
0,1,0,3,127
0,1,0,1,128
0,1,0,66,242
0,1,0,64,159
0,1,0,62,238
0,1,0,60,218
0,1,0,58,231
0,1,0,55,227
0,1,0,53,158
0,1,0,51,92
0,1,0,49,204
0,1,0,47,126
0,1,0,44,142
0,1,0,42,229
0,1,0,40,173
0,1,0,38,249
0,1,0,36,230
0,1,0,34,216
0,1,0,32,143
0,1,0,30,232
0,1,0,28,220
0,1,0,26,221
0,1,0,24,205
0,1,0,21,207
0,1,0,19,210
0,1,0,17,191
0,1,0,15,194
0,1,0,13,176
0,1,0,10,179
0,1,0,8,161
0,1,0,6,145
0,1,0,4,144
0,1,0,2,111
0,1,0,0,110
0,2,3,67,129
0,2,3,65,94
0,2,3,63,130
0,2,3,61,113
0,2,3,59,195
0,2,3,57,131
0,2,3,54,180
0,2,3,52,132
0,2,3,50,-1
0,2,3,48,133
0,2,3,46,134
0,2,3,43,166
0,2,3,41,167
0,2,3,39,182
0,2,3,37,96
0,2,3,35,168
0,2,3,33,136
0,2,3,31,101
0,2,3,29,81
0,2,3,27,121
0,2,3,25,79
0,2,3,23,119
0,2,3,20,117
0,2,3,18,78
0,2,3,16,80
0,2,3,14,76
0,2,3,12,152
0,2,3,9,85
0,2,3,7,86
0,2,3,5,135
0,2,3,3,153
0,2,3,1,97
0,2,3,66,95
0,2,3,64,112
0,2,3,62,163
0,2,3,60,147
0,2,3,58,164
0,2,3,55,148
0,2,3,53,165
0,2,3,51,149
0,2,3,49,196
0,2,3,47,181
0,2,3,44,150
0,2,3,42,197
0,2,3,40,151
0,2,3,38,183
0,2,3,36,98
0,2,3,34,99
0,2,3,32,102
0,2,3,30,103
0,2,3,28,104
0,2,3,26,115
0,2,3,24,77
0,2,3,21,83
0,2,3,19,116
0,2,3,17,120
0,2,3,15,114
0,2,3,13,118
0,2,3,10,84
0,2,3,8,87
0,2,3,6,100
0,2,3,4,137
0,2,3,2,59
0,2,3,0,254
0,2,2,67,28
0,2,2,65,65
0,2,2,63,25
0,2,2,61,61
0,2,2,59,26
0,2,2,57,66
0,2,2,54,22
0,2,2,52,62
0,2,2,50,20
0,2,2,48,67
0,2,2,46,40
0,2,2,43,44
0,2,2,41,43
0,2,2,39,39
0,2,2,37,35
0,2,2,35,45
0,2,2,33,52
0,2,2,31,34
0,2,2,29,51
0,2,2,27,33
0,2,2,25,68
0,2,2,23,32
0,2,2,20,49
0,2,2,18,31
0,2,2,16,12
0,2,2,14,48
0,2,2,12,10
0,2,2,9,11
0,2,2,7,6
0,2,2,5,7
0,2,2,3,2
0,2,2,1,3
0,2,2,66,63
0,2,2,64,27
0,2,2,62,21
0,2,2,60,23
0,2,2,58,64
0,2,2,55,24
0,2,2,53,60
0,2,2,51,58
0,2,2,49,46
0,2,2,47,57
0,2,2,44,42
0,2,2,42,93
0,2,2,40,41
0,2,2,38,82
0,2,2,36,53
0,2,2,34,17
0,2,2,32,70
0,2,2,30,16
0,2,2,28,69
0,2,2,26,15
0,2,2,24,50
0,2,2,21,14
0,2,2,19,13
0,2,2,17,30
0,2,2,15,29
0,2,2,13,47
0,2,2,10,9
0,2,2,8,8
0,2,2,6,5
0,2,2,4,4
0,2,2,2,1
0,2,2,0,19
0,2,1,67,766
0,2,1,65,765
0,2,1,63,770
0,2,1,61,769
0,2,1,59,774
0,2,1,57,773
0,2,1,54,794
0,2,1,52,812
0,2,1,50,778
