CoboID,AsadID,AgetID,ChannelID,PadID
4,3,1,12,1704
4,3,1,13,1762
4,3,1,14,1703
4,3,1,15,1761
4,3,1,16,1702
4,3,1,17,1760
4,3,1,18,1701
4,3,1,19,1759
4,3,1,20,1700
4,3,1,21,1758
4,3,1,23,1699
4,3,1,24,1757
4,3,1,25,1698
4,3,1,26,1756
4,3,1,27,1697
4,3,1,28,1755
4,3,1,29,1696
4,3,1,30,1754
4,3,1,31,1695
4,3,1,32,1753
4,3,1,33,1694
4,3,1,34,1752
4,3,1,35,1693
4,3,1,36,1751
4,3,1,37,1692
4,3,1,38,1750
4,3,1,39,1691
4,3,1,40,1749
4,3,1,41,1690
4,3,1,42,1748
4,3,1,43,1689
4,3,1,44,1747
4,3,1,46,1688
4,3,1,47,1746
4,3,1,48,1687
4,3,1,49,1745
4,3,1,50,1686
4,3,1,51,1744
4,3,1,52,1685
4,3,1,53,1743
4,3,1,54,1684
4,3,1,55,1742
4,3,1,57,1683
4,3,1,58,1741
4,3,1,59,1682
4,3,1,60,1740
4,3,1,61,1681
4,3,1,62,1739
4,3,1,63,1680
4,3,1,64,1738
4,3,1,65,1679
4,3,1,66,1737
4,3,1,67,1678
4,3,0,0,1736
4,3,0,1,1677
4,3,0,2,1735
4,3,0,3,1676
4,3,0,4,1734
4,3,0,5,1675
4,3,0,6,1733
4,3,0,7,1674
4,3,0,8,1732
4,3,0,9,1673
4,3,0,10,1731
4,3,0,12,1672
4,3,0,13,1730
4,3,0,14,1671
4,3,0,15,1729
4,3,0,16,1670
4,3,0,17,1728
4,3,0,18,1669
4,3,0,19,1727
4,3,0,20,1668
4,3,0,21,1726
4,3,0,23,1667
4,3,0,24,1725
4,3,0,25,1666
4,3,0,26,1724
4,3,0,27,1665
4,3,0,28,1723
4,3,0,29,1664
4,3,0,30,1722
4,3,0,31,1663
4,3,0,32,1721
4,3,0,33,1662
4,3,0,34,1720
4,3,0,35,1661
4,3,0,36,1719
4,3,0,37,1660
4,3,0,38,1718
4,3,0,39,1659
4,3,0,40,1717
4,3,0,41,1658
4,3,0,42,1716
4,3,0,43,1657
4,3,0,44,1715
4,3,0,46,1656
4,3,0,47,1714
4,3,0,48,1655
4,3,0,49,1713
4,3,0,50,1654
4,3,0,51,1712
4,3,0,52,1653
4,3,0,53,1711
4,3,0,54,1652
4,3,0,55,1710
4,3,0,57,1651
4,3,0,58,1709
4,3,0,59,1650
4,3,0,60,1708
4,3,0,61,1649
4,3,0,62,1707
4,3,0,63,1648
4,3,0,64,1706
4,3,0,65,1647
4,3,0,66,1705
4,3,3,1,1763
4,3,3,2,1831
4,3,3,3,1764
4,3,3,4,1832
4,3,3,5,1765
4,3,3,6,1833
4,3,3,7,1766
4,3,3,8,1834
4,3,3,9,1767
4,3,3,10,1835
4,3,3,12,1768
4,3,3,13,1836
4,3,3,14,1769
4,3,3,15,1837
4,3,3,16,1770
4,3,3,17,1838
4,3,3,18,1771
4,3,3,19,1839
4,3,3,20,1772
4,3,3,21,1840
4,3,3,23,1773
4,3,3,24,1841
4,3,3,25,1774
4,3,3,26,1842
4,3,3,27,1775
4,3,3,28,1843
4,3,3,29,1776
4,3,3,30,1844
4,3,3,31,1777
4,3,3,32,1845
4,3,3,33,1778
4,3,3,34,1846
4,3,3,35,1779
4,3,3,36,1847
4,3,3,37,1780
4,3,3,38,1848
4,3,3,39,1781
4,3,3,40,1849
4,3,3,41,1782
4,3,3,42,1850
4,3,3,43,1783
4,3,3,44,1851
4,3,3,46,1784
4,3,3,47,1852
4,3,3,48,1785
4,3,3,49,1853
4,3,3,50,1786
4,3,3,51,1854
4,3,3,52,1787
4,3,3,53,1855
4,3,3,54,1788
4,3,3,55,1856
4,3,3,57,1789
4,3,3,58,1857
4,3,3,59,1790
4,3,3,60,1858
4,3,3,61,1791
4,3,3,62,1859
4,3,3,63,1792
4,3,3,64,1860
4,3,3,65,1793
4,3,3,66,1861
4,3,3,67,1794
4,3,2,0,1862
4,3,2,1,1795
4,3,2,2,1863
4,3,2,3,1796
4,3,2,4,1864
4,3,2,5,1797
4,3,2,6,1865
4,3,2,7,1798
4,3,2,8,1866
4,3,2,9,1799
4,3,2,10,1867
4,3,2,12,1800
4,3,2,13,1868
4,3,2,14,1801
4,3,2,15,1869
4,3,2,16,1802
4,3,2,17,1870
4,3,2,18,1803
4,3,2,19,1871
4,3,2,20,1804
4,3,2,21,1872
4,3,2,23,1805
4,3,2,24,1873
4,3,2,25,1806
4,3,2,26,1874
4,3,2,27,1807
4,3,2,28,1875
4,3,2,29,1808
4,3,2,30,1876
4,3,2,31,1809
4,3,2,32,1877
4,3,2,33,1810
4,3,2,34,1878
4,3,2,35,1811
4,3,2,36,1879
4,3,2,37,1812
4,3,2,38,1880
4,3,2,39,1813
4,3,2,40,1881
4,3,2,41,1814
4,3,2,42,1882
4,3,2,43,1815
4,3,2,44,1883
4,3,2,46,1816
4,3,2,47,1884
4,3,2,48,1817
4,3,2,49,1885
4,3,2,50,1818
4,3,2,51,1886
4,3,2,52,1819
4,3,2,53,1887
4,3,2,54,1820
4,3,2,55,1888
4,3,2,57,1821
4,3,2,58,1889
4,3,2,59,1822
4,3,2,60,1890
4,3,2,61,1823
4,3,2,62,1891
4,3,2,63,1824
4,3,2,64,1892
4,3,2,65,1825
4,3,2,66,1893
4,3,2,67,1826
4,3,1,0,1894
4,3,1,1,1827
4,3,1,2,1895
4,3,1,3,1828
4,3,1,4,1896
4,3,1,5,1829
4,3,1,6,1897
4,3,1,7,1830
4,3,1,8,1898
4,2,1,12,1588
4,2,1,13,1646
4,2,1,14,1587
4,2,1,15,1645
4,2,1,16,1586
4,2,1,17,1644
4,2,1,18,1585
4,2,1,19,1643
4,2,1,20,1584
4,2,1,21,1642
4,2,1,23,1583
4,2,1,24,1641
4,2,1,25,1582
4,2,1,26,1640
4,2,1,27,1581
4,2,1,28,1639
4,2,1,29,1580
4,2,1,30,1638
4,2,1,31,1579
4,2,1,32,1637
4,2,1,33,1578
4,2,1,34,1636
4,2,1,35,1577
4,2,1,36,1635
4,2,1,37,1576
4,2,1,38,1634
4,2,1,39,1575
4,2,1,40,1633
4,2,1,41,1574
4,2,1,42,1632
4,2,1,43,1573
4,2,1,44,1631
4,2,1,46,1572
4,2,1,47,1630
4,2,1,48,1571
4,2,1,49,1629
4,2,1,50,1570
4,2,1,51,1628
4,2,1,52,1569
4,2,1,53,1627
4,2,1,54,1568
4,2,1,55,1626
4,2,1,57,1567
4,2,1,58,1625
4,2,1,59,1566
4,2,1,60,1624
4,2,1,61,1565
4,2,1,62,1623
4,2,1,63,1564
4,2,1,64,1622
4,2,1,65,1563
4,2,1,66,1621
4,2,1,67,1562
4,2,0,0,1620
4,2,0,1,1561
4,2,0,2,1619
4,2,0,3,1560
4,2,0,4,1618
4,2,0,5,1559
4,2,0,6,1617
4,2,0,7,1558
4,2,0,8,1616
4,2,0,9,1557
4,2,0,10,1615
4,2,0,12,1556
4,2,0,13,1614
4,2,0,14,1555
4,2,0,15,1613
4,2,0,16,1554
4,2,0,17,1612
4,2,0,18,1553
4,2,0,19,1611
4,2,0,20,1552
4,2,0,21,1610
4,2,0,23,1551
4,2,0,24,1609
4,2,0,25,1550
4,2,0,26,1608
4,2,0,27,1549
4,2,0,28,1607
4,2,0,29,1548
4,2,0,30,1606
4,2,0,31,1547
4,2,0,32,1605
4,2,0,33,1546
4,2,0,34,1604
4,2,0,35,1545
4,2,0,36,1603
4,2,0,37,1544
4,2,0,38,1602
4,2,0,39,1543
4,2,0,40,1601
4,2,0,41,1542
4,2,0,42,1600
4,2,0,43,1541
4,2,0,44,1599
4,2,0,46,1540
4,2,0,47,1598
4,2,0,48,1539
4,2,0,49,1597
4,2,0,50,1538
4,2,0,51,1596
4,2,0,52,1537
4,2,0,53,1595
4,2,0,54,1536
4,2,0,55,1594
4,2,0,57,1535
4,2,0,58,1593
4,2,0,59,1534
4,2,0,60,1592
4,2,0,61,1533
4,2,0,62,1591
4,2,0,63,1532
4,2,0,64,1590
4,2,0,65,1531
4,2,0,66,1589
4,2,3,1,1395
4,2,3,2,1463
4,2,3,3,1396
4,2,3,4,1464
4,2,3,5,1397
4,2,3,6,1465
4,2,3,7,1398
4,2,3,8,1466
4,2,3,9,1399
4,2,3,10,1467
4,2,3,12,1400
4,2,3,13,1468
4,2,3,14,1401
4,2,3,15,1469
4,2,3,16,1402
4,2,3,17,1470
4,2,3,18,1403
4,2,3,19,1471
4,2,3,20,1404
4,2,3,21,1472
4,2,3,23,1405
4,2,3,24,1473
4,2,3,25,1406
4,2,3,26,1474
4,2,3,27,1407
4,2,3,28,1475
4,2,3,29,1408
4,2,3,30,1476
4,2,3,31,1409
4,2,3,32,1477
4,2,3,33,1410
4,2,3,34,1478
4,2,3,35,1411
4,2,3,36,1479
4,2,3,37,1412
4,2,3,38,1480
4,2,3,39,1413
4,2,3,40,1481
4,2,3,41,1414
4,2,3,42,1482
4,2,3,43,1415
4,2,3,44,1483
4,2,3,46,1416
4,2,3,47,1484
4,2,3,48,1417
4,2,3,49,1485
4,2,3,50,1418
4,2,3,51,1486
4,2,3,52,1419
4,2,3,53,1487
4,2,3,54,1420
4,2,3,55,1488
4,2,3,57,1421
4,2,3,58,1489
4,2,3,59,1422
4,2,3,60,1490
4,2,3,61,1423
4,2,3,62,1491
4,2,3,63,1424
4,2,3,64,1492
